Datasets,BFS,PR,WCC,BC
twitter,9.19,10.687,14.783,21.378
friendster,14.407,,,29.098
ukdomain,9.144,27.482,40.756,19.438
kron28,17.439,32.484,41.469,40.294
kron29,31.019,64.889,82.905,76.303
kron30,47.741,129.939,165.428,130.511
yahoo,191.812,114.59,6670.143,
